project_id,year,phase,link,division,status,project,total,state_gf,gifts,debt,other_funds
Satellite Clinical Lab at Town Center IV,2026,full,single-name,UVA Health System,In Planning/Design,Satellite Clinical Lab at Town Center IV,35,,,,35
School of Architecture Center for Design,2022,planning,exact-key,Academic Division,Not Yet Initiated,School of Architecture Center for Design<br>(planning/design),4,,4,,
School of Architecture Center for Design,2023,planning,exact-key,Academic Division,In Planning/Design,School of Architecture Center for Design(planning/design),4,,4,,
School of Architecture Center for Design,2024,planning,exact-key,Academic Division,Not Yet Initiated,School of Architecture Center for Design(planning/design),4,,4,,
School of Architecture Center for Design,2025,planning,exact-key,Academic Division,Not Yet Initiated,School of Architecture Center for Design(planning/design),4,,4,,
School of Architecture Center for Design,2026,planning,exact-key,Academic Division,Pending Future Funding,School of Architecture Center for Design(planning/design),4,,4,,
School of Data Science,2021,full,single-name,Academic Division,Under Construction,School of Data Science,53.5,,5.5,48,
School of Data Science,2022,full,single-name,Academic Division,Under Construction,School of Data Science,53.5,,5.5,48,
School of Data Science,2023,full,single-name,Academic Division,Under Construction,School of Data Science,53.5,,5.5,48,
School of Data Science and Entrepreneurship Building,2025,full,single-name,Academic Division,In Planning/Design,School of Data Science and Entrepreneurship Building,77,,20,42,15
School of Data Science and Entrepreneurship Building,2026,full,single-name,Academic Division,In Planning/Design,School of Data Science and Entrepreneurship Building,77,,20,42,15
Second-year Housing Initiative,2023,planning,exact-key,Academic Division,In Planning/Design,Second-year Housing Initiative(planning/design),7,,,7,
Second-year Housing Initiative,2024,planning,exact-key,Academic Division,In Planning/Design,Second-year Housing Initiative (planning/design),7,,,7,
Shumway Hall (McIntire),2021,full,override-confirmed,Academic Division,In Planning/Design,Mc Intire Academic Facility (Shumway Hall),101,,7.5,93.5,
Shumway Hall (McIntire),2022,full,override-confirmed,Academic Division,In Planning/Design,Mc Intire Academic Facility (Shumway Hall),132.7,,17.5,115.2,
Shumway Hall (McIntire),2023,full,exact-key,Academic Division,Under Construction,Shumway Hall(Mc Intire),139.7,,25,89.7,25
Shumway Hall (McIntire),2024,full,exact-key,Academic Division,Under Construction,Shumway Hall (Mc Intire),139.7,,25,89.7,25
Smith Hall Renovation (Darden),2021,full,exact-key,Academic Division,Under Construction,Smith Hall Renovation(Darden),14,,7.2,6.8,
Smith Hall Renovation (Darden),2022,full,exact-key,Academic Division,Under Construction,Smith Hall Renovation (Darden),14,,7.2,6.8,
Steele Wing Renovation (School of Medicine),2026,full,single-name,Academic Division,In Planning/Design,Steele Wing Renovation(School of Medicine),30,,,,30
Student Activities Building,2021,full,single-name,Academic Division,In Planning/Design,Student Activities Building,17,,,17,
Student Activities Building,2022,full,single-name,Academic Division,Not Yet Initiated,Student Activities Building,17,,,17,
Tech Talent Investment Program Phase I,2021,full,single-name,Academic Division,In Planning/Design,Tech Talent Investment Program Phase I,3,3,,,
Tech Talent Investment Program Phase I,2022,full,single-name,Academic Division,In Planning/Design,Tech Talent Investment Program Phase I,3,3,,,
Technology Classroom Building,2021,full,single-name,College at Wise,In Planning/Design,Technology Classroom Building,44.4,44.4,,,
Technology Classroom Building,2022,full,single-name,College at Wise,Not Yet Initiated,Technology Classroom Building,52,52,,,
Technology Classroom Building,2023,full,single-name,College at Wise,In Planning/Design,Technology Classroom Building,52,52,,,
Technology Classroom Building,2024,full,single-name,College at Wise,Not Yet Initiated,Technology Classroom Building,66,66,,,
Technology Classroom Building,2025,full,single-name,College at Wise,Not Yet Initiated,Technology Classroom Building,68.7,68.7,,,
Technology Classroom Building,2026,full,single-name,College at Wise,Pending Future Funding,Technology Classroom Building,78.4,78.4,,,
The Park Renovation (UVA Recreation),2024,planning,override-probable,Academic Division,Not Yet Initiated,The Park Complex Improvements(planning/design),1.5,,,,1.5
The Park Renovation (UVA Recreation),2025,full,single-name,Academic Division,In Planning/Design,The Park Renovation(UVA Recreation),8,,,8,
The Park Renovation (UVA Recreation),2026,full,single-name,Academic Division,Under Construction,The Park Renovation(UVA Recreation),10,,,8,2
UVA Community Health Gainesville Cancer Center Expansion,2025,full,single-name,UVA Health System,In Planning/Design,UVA Community Health Gainesville Cancer Center Expansion,12,,,,12
UVA Community Health Gainesville Cancer Center Expansion,2026,full,single-name,UVA Health System,Under Construction,UVA Community Health Gainesville Cancer Center Expansion,12,,,,12
UVA Community Health Gainesville Imaging Center Renovation,2025,full,single-name,UVA Health System,In Planning/Design,UVA Community Health Gainesville Imaging Center Renovation,10.4,,,,10.4
UVA Copeley Childcare Center Expansion,2024,planning,single-name,Academic Division,Not Yet Initiated,UVA Copeley Childcare Center Expansion(planning/design),1.5,,,,1.5
UVA Copeley Childcare Center Expansion,2025,planning,single-name,Academic Division,Not Yet Initiated,UVA Copeley Childcare Center Expansion(planning/design),1.5,,,,1.5
UVA Copeley Childcare Center Expansion,2026,planning,single-name,Academic Division,Pending Future Funding,UVA Copeley Childcare Center Expansion(planning/design),1.5,,,,1.5
UVA Encompass Rehabilitation Hospital Renovation & Expansion,2021,full,exact-key,UVA Health System,In Planning/Design,UVA Encompass Rehabilitation Hospital Renovation and<br>Expansion,35,,,,35
UVA Encompass Rehabilitation Hospital Renovation & Expansion,2022,full,fuzzy,UVA Health System,In Planning/Design,UVA Encompass Rehab Hospital Renovation/Expansion,35,,,,35
UVA Encompass Rehabilitation Hospital Renovation & Expansion,2023,full,exact-key,UVA Health System,In Planning/Design,UVA Encompass Rehabilitation Hospital Renovation & Expansion,45,,,,45
UVA Encompass Rehabilitation Hospital Renovation & Expansion,2024,full,exact-key,UVA Health System,In Planning/Design,UVA Encompass Rehabilitation Hospital Renovation & Expansion,45,,,,45
UVA Encompass Rehabilitation Hospital Renovation & Expansion,2025,full,exact-key,UVA Health System,Under Construction,UVA Encompass Rehabilitation Hospital Renovation & Expansion,45,,,,45
UVA Encompass Rehabilitation Hospital Renovation & Expansion,2026,full,exact-key,UVA Health System,Under Construction,UVA Encompass Rehabilitation Hospital Renovation & Expansion,45,,,,45
UVA Hospital Project,2023,full,single-name,UVA Health System,In Planning/Design,UVA Hospital Project,132,,,,132
UVA Museum,2021,planning,exact-key,Academic Division,In Planning/Design,UVA Museum(planning),3,,3,,
UVA Museum,2022,planning,exact-key,Academic Division,Not Yet Initiated,UVA Museum (planning),3,,3,,
UVA Museum,2023,planning,exact-key,Academic Division,In Planning/Design,UVA Museum(planning/design),3,,3,,
UVA NOVA Fairfax (tenant fit out),2023,full,exact-key,Academic Division,In Planning/Design,UVA NOVA Fairfax(tenant fit out),20.6,,,,20.6
UVA NOVA Fairfax (tenant fit out),2024,full,exact-key,Academic Division,Under Construction,<br>UVA NOVA Fairfax (tenant fit out),20.6,,,,20.6
University Hospital Image Guided Surgery Suite,2026,full,single-name,UVA Health System,In Planning/Design,University Hospital Image Guided Surgery Suite,9,,,,9
University Hospital South Tower Fit-Out,2024,full,fuzzy,UVA Health System,In Planning/Design,UVA Hospital South Tower Fit-Out,120,,,,120
University Hospital South Tower Fit-Out,2025,full,fuzzy,UVA Health System,In Planning/Design,UVA Hospital South Tower Fit-Out,120,,,,120
University Hospital South Tower Fit-Out,2026,full,fuzzy,UVA Health System,Under Construction,University Hospital South Tower Fit-Out,120,,,,120
Virginia Guesthouse (UVA Hotel & Conference Center),2021,full,override-confirmed,Academic Division,In Planning/Design,UVA Hotel & Conference Center,133.5,,3,110.5,20
Virginia Guesthouse (UVA Hotel & Conference Center),2022,full,override-confirmed,Academic Division,In Planning/Design,UVA Hotel & Conference Center,167.9,,3,144.9,20
Virginia Guesthouse (UVA Hotel & Conference Center),2023,full,exact-key,Academic Division,Under Construction,Virginia Guesthouse(UVA Hotel & Conference Center),167.9,,3,144.9,20
Virginia Guesthouse (UVA Hotel & Conference Center),2024,full,exact-key,Academic Division,Under Construction,Virginia Guesthouse (UVA Hotel & Conference Center),167.9,,3,144.9,20
Virginia Guesthouse (UVA Hotel & Conference Center),2025,full,exact-key,Academic Division,Under Construction,Virginia Guesthouse(UVA Hotel & Conference Center),167.9,,3,144.9,20
West Grounds Chilled Water Capacity,2021,full,single-name,Academic Division,Under Construction,West Grounds Chilled Water Capacity,8,,,8,
West Grounds Chilled Water Capacity,2022,full,single-name,Academic Division,Under Construction,West Grounds Chilled Water Capacity,8,,,8,
Wyllie Library Renovation and Conversion,2021,full,single-name,College at Wise,In Planning/Design,Wyllie Library Renovation and Conversion,13.55,13.55,,,
Wyllie Library Renovation and Conversion,2022,full,single-name,College at Wise,In Planning/Design,Wyllie Library Renovation and Conversion,16.6,16.6,,,
Wyllie Library Renovation and Conversion,2023,full,single-name,College at Wise,Under Construction,Wyllie Library Renovation and Conversion,16.6,16.6,,,
Zehmer Hall Renovation,2021,full,single-name,College at Wise,In Planning/Design,Zehmer Hall Renovation,23.1,23.1,,,
Zehmer Hall Renovation,2022,full,single-name,College at Wise,Not Yet Initiated,Zehmer Hall Renovation,23.1,23.1,,,
Zehmer Hall Renovation,2023,full,single-name,College at Wise,In Planning/Design,Zehmer Hall Renovation,23.1,23.1,,,
Zehmer Hall Renovation,2024,full,single-name,College at Wise,Not Yet Initiated,<br>Zehmer Hall Renovation,23.1,23.1,,,
Zehmer Hall Renovation,2025,full,single-name,College at Wise,Not Yet Initiated,Zehmer Hall Renovation,27.3,27.3,,,
Zehmer Hall Renovation,2026,full,single-name,College at Wise,Pending Future Funding,Zehmer Hall Renovation,27.3,27.3,,,
Zion Crossroads Shell Space Clinic Build Out,2023,full,single-name,UVA Health System,In Planning/Design,Zion Crossroads Shell Space Clinic Build Out,7.4,,,,7.4
Zion Crossroads Shell Space Clinic Build Out,2024,full,single-name,UVA Health System,Under Construction,Zion Crossroads Shell Space Clinic Build Out,7.4,,,,7.4
Zion Crossroads Shell Space Clinic Build Out,2025,full,single-name,UVA Health System,Under Construction,Zion Crossroads Shell Space Clinic Build Out,7.4,,,,7.4
